columns;type;filledRatio;nbValues;isFilter
customer_id;object;100.0;83556;False
customer_unique_id;object;100.0;81072;False
customer_zip_code_prefix;int64;100.0;14307;False
customer_city;object;100.0;3881;False
customer_state;object;100.0;27;False
order_id;object;100.0;83556;False
order_status;object;100.0;7;False
order_purchase_timestamp;datetime64[ns];100.0;83136;False
order_approved_at;object;99.987;77322;False
order_delivered_carrier_date;object;99.321;69260;False
order_delivered_customer_date;datetime64[ns];98.192;81361;False
order_estimated_delivery_date;datetime64[ns];100.0;439;False
order_item_id;int64;100.0;21;False
product_id;object;100.0;24691;False
seller_id;object;100.0;1245;False
shipping_limit_date;object;100.0;79673;False
price;float64;100.0;4842;True
freight_value;float64;100.0;6288;False
payment_sequential;int64;100.0;26;True
payment_type;object;100.0;4;False
payment_installments;int64;100.0;23;False
payment_value;float64;100.0;25445;False
review_id;object;100.0;83433;False
review_score;int64;100.0;5;True
review_comment_title;object;11.375;3832;False
review_comment_message;object;43.009;31059;False
review_creation_date;object;100.0;620;False
review_answer_timestamp;object;100.0;83314;False
product_category_name;object;98.84;73;False
product_name_lenght;float64;98.84;65;False
product_description_lenght;float64;98.84;2677;False
product_photos_qty;float64;98.84;19;False
product_weight_g;float64;99.981;1910;False
product_length_cm;float64;99.981;98;False
product_height_cm;float64;99.981;101;False
product_width_cm;float64;99.981;93;False
seller_zip_code_prefix;int64;100.0;1017;False
seller_city;object;100.0;335;False
seller_state;object;100.0;20;False
customer_unique_id_int;int64;100.0;81072;False
nbOrders;int64;100.0;8;True
order_delivery_length;float64;98.192;136;True
returningCustomers;int64;100.0;2;True
orderStatusBool;int64;100.0;2;True
NbReviews;int64;100.0;8;True
avgReviewScore;float64;100.0;35;True
year;int64;100.0;3;True
orderLateInDays;float64;98.192;184;True
orderLateBool;int64;100.0;2;True
seller_stateEnc;int64;100.0;20;False
payment_typeEnc;int64;100.0;4;True
customer_stateEnc;int64;100.0;27;True
order_statusEnc;int64;100.0;7;False
product_category_nameEnc;int64;100.0;74;True
